id_meteo;Date;Lieu;Vitesse_vent_moyen;Humidité;Température
69;2022-11-19 00:00:00+00:00;Métropole du Grand Paris;1.9;89.0;5.800000000000011
70;2022-09-29 12:00:00+00:00;Métropole du Grand Paris;2.1;75.0;12.900000000000034
71;2022-09-30 09:00:00+00:00;Métropole du Grand Paris;1.4;78.0;13.100000000000025
72;2022-10-01 09:00:00+00:00;Métropole du Grand Paris;4.8;87.0;16.5
73;2022-07-07 21:00:00+00:00;Métropole du Grand Paris;3.2;68.0;17.400000000000034
74;2022-07-08 03:00:00+00:00;Métropole du Grand Paris;3.6;77.0;13.300000000000011
75;2022-07-09 18:00:00+00:00;Métropole du Grand Paris;5.3;39.0;27.30000000000001
76;2022-10-30 00:00:00+00:00;Métropole du Grand Paris;1.7;89.0;13.900000000000034
77;2022-11-03 12:00:00+00:00;Métropole du Grand Paris;4.6;72.0;15.0
78;2022-11-10 03:00:00+00:00;Métropole du Grand Paris;1.0;98.0;7.100000000000023
79;2022-11-12 00:00:00+00:00;Métropole du Grand Paris;0.0;99.0;8.100000000000023
80;2022-07-17 18:00:00+00:00;Métropole du Grand Paris;3.8;23.0;30.5
81;2022-07-20 06:00:00+00:00;Métropole du Grand Paris;2.0;93.0;19.100000000000023
82;2022-07-22 03:00:00+00:00;Métropole du Grand Paris;3.0;92.0;17.200000000000045
83;2022-07-22 06:00:00+00:00;Métropole du Grand Paris;3.5;85.0;18.200000000000045
84;2022-07-24 00:00:00+00:00;Métropole du Grand Paris;2.6;76.0;20.0
85;2022-07-24 09:00:00+00:00;Métropole du Grand Paris;3.1;51.0;26.900000000000038
86;2022-07-26 03:00:00+00:00;Métropole du Grand Paris;2.3;78.0;16.900000000000034
87;2022-07-29 03:00:00+00:00;Métropole du Grand Paris;1.2;70.0;14.300000000000011
88;2022-08-01 03:00:00+00:00;Métropole du Grand Paris;1.7;81.0;18.600000000000023
89;2022-10-14 21:00:00+00:00;Métropole du Grand Paris;4.7;92.0;16.100000000000023
90;2022-10-17 21:00:00+00:00;Métropole du Grand Paris;0.8;100.0;16.600000000000023
91;2022-10-18 12:00:00+00:00;Métropole du Grand Paris;2.1;87.0;18.100000000000023
92;2022-10-19 06:00:00+00:00;Métropole du Grand Paris;2.3;97.0;14.400000000000034
93;2022-10-23 18:00:00+00:00;Métropole du Grand Paris;5.4;66.0;19.0
94;2022-10-24 06:00:00+00:00;Métropole du Grand Paris;5.1;83.0;15.200000000000044
95;2022-10-25 21:00:00+00:00;Métropole du Grand Paris;0.7;85.0;16.0
96;2022-10-09 03:00:00+00:00;Métropole du Grand Paris;1.1;86.0;7.0
97;2022-10-10 06:00:00+00:00;Métropole du Grand Paris;0.8;96.0;9.100000000000025
98;2022-10-12 15:00:00+00:00;Métropole du Grand Paris;2.3;55.0;19.5
99;2022-11-16 06:00:00+00:00;Métropole du Grand Paris;3.0;96.0;8.5
100;2022-11-17 21:00:00+00:00;Métropole du Grand Paris;4.3;79.0;10.300000000000011
101;2022-11-22 06:00:00+00:00;Métropole du Grand Paris;6.2;91.0;6.0
102;2022-11-22 18:00:00+00:00;Métropole du Grand Paris;5.1;71.0;9.700000000000044
103;2022-04-22 06:00:00+00:00;Métropole du Grand Paris;4.6;72.0;10.200000000000044
104;2022-04-25 09:00:00+00:00;Métropole du Grand Paris;5.8;72.0;11.5
105;2022-05-02 21:00:00+00:00;Métropole du Grand Paris;5.5;57.0;14.100000000000025
106;2022-05-05 12:00:00+00:00;Métropole du Grand Paris;5.4;59.0;16.100000000000023
107;2022-05-09 06:00:00+00:00;Métropole du Grand Paris;2.8;73.0;13.100000000000025
108;2022-05-10 03:00:00+00:00;Métropole du Grand Paris;0.5;86.0;13.800000000000011
109;2022-05-10 12:00:00+00:00;Métropole du Grand Paris;6.2;38.0;26.30000000000001
110;2022-05-15 12:00:00+00:00;Métropole du Grand Paris;6.0;32.0;27.900000000000038
111;2022-05-15 18:00:00+00:00;Métropole du Grand Paris;4.7;37.0;26.5
112;2022-05-16 15:00:00+00:00;Métropole du Grand Paris;4.0;43.0;26.100000000000023
113;2022-05-19 12:00:00+00:00;Métropole du Grand Paris;3.0;53.0;24.900000000000038
114;2022-05-23 00:00:00+00:00;Métropole du Grand Paris;3.5;80.0;17.0
115;2022-05-24 00:00:00+00:00;Métropole du Grand Paris;3.3;92.0;13.0
116;2022-05-27 18:00:00+00:00;Métropole du Grand Paris;4.1;45.0;21.0
117;2022-06-04 21:00:00+00:00;Métropole du Grand Paris;1.8;95.0;17.100000000000023
118;2022-06-06 06:00:00+00:00;Métropole du Grand Paris;3.9;79.0;14.800000000000011
119;2022-06-07 12:00:00+00:00;Métropole du Grand Paris;6.6;59.0;20.700000000000045
120;2022-06-13 21:00:00+00:00;Métropole du Grand Paris;4.3;53.0;18.30000000000001
121;2022-06-17 06:00:00+00:00;Métropole du Grand Paris;1.0;62.0;20.200000000000045
122;2022-06-18 18:00:00+00:00;Métropole du Grand Paris;4.4;34.0;34.60000000000002
123;2022-06-21 09:00:00+00:00;Métropole du Grand Paris;1.1;84.0;17.600000000000023
124;2022-06-22 12:00:00+00:00;Métropole du Grand Paris;3.8;70.0;21.900000000000038
125;2022-06-22 15:00:00+00:00;Métropole du Grand Paris;5.2;63.0;25.0
126;2022-06-23 00:00:00+00:00;Métropole du Grand Paris;1.4;91.0;19.30000000000001
127;2022-03-13 09:00:00+00:00;Métropole du Grand Paris;5.8;61.0;11.100000000000025
128;2022-03-19 09:00:00+00:00;Métropole du Grand Paris;8.2;57.0;10.0
129;2022-03-23 09:00:00+00:00;Métropole du Grand Paris;1.8;48.0;12.100000000000025
130;2022-03-24 00:00:00+00:00;Métropole du Grand Paris;1.4;44.0;10.800000000000011
131;2022-03-25 15:00:00+00:00;Métropole du Grand Paris;5.7;25.0;18.80000000000001
132;2022-03-26 06:00:00+00:00;Métropole du Grand Paris;2.2;61.0;7.900000000000034
133;2022-03-27 06:00:00+00:00;Métropole du Grand Paris;2.7;71.0;8.200000000000045
134;2022-03-27 12:00:00+00:00;Métropole du Grand Paris;3.9;42.0;18.100000000000023
135;2022-03-28 03:00:00+00:00;Métropole du Grand Paris;0.8;74.0;7.0
136;2022-03-29 21:00:00+00:00;Métropole du Grand Paris;0.6;82.0;11.300000000000011
137;2022-03-30 09:00:00+00:00;Métropole du Grand Paris;1.2;95.0;10.600000000000025
138;2022-02-27 09:00:00+00:00;Métropole du Grand Paris;4.8;62.0;3.6000000000000227
139;2022-03-02 06:00:00+00:00;Métropole du Grand Paris;2.4;66.0;5.600000000000023
140;2022-03-03 15:00:00+00:00;Métropole du Grand Paris;3.5;72.0;12.700000000000044
141;2022-03-06 09:00:00+00:00;Métropole du Grand Paris;4.1;79.0;3.300000000000012
142;2022-03-06 15:00:00+00:00;Métropole du Grand Paris;6.6;39.0;8.300000000000011
143;2022-03-31 21:00:00+00:00;Métropole du Grand Paris;10.0;71.0;3.6000000000000227
144;2022-04-04 09:00:00+00:00;Métropole du Grand Paris;6.7;53.0;6.900000000000034
145;2022-04-04 18:00:00+00:00;Métropole du Grand Paris;7.4;59.0;8.300000000000011
146;2022-04-06 09:00:00+00:00;Métropole du Grand Paris;4.9;77.0;9.900000000000034
147;2022-04-12 12:00:00+00:00;Métropole du Grand Paris;5.7;47.0;19.900000000000038
148;2022-04-13 09:00:00+00:00;Métropole du Grand Paris;1.4;98.0;12.900000000000034
149;2022-02-17 21:00:00+00:00;Métropole du Grand Paris;2.5;71.0;10.300000000000011
150;2022-02-22 21:00:00+00:00;Métropole du Grand Paris;3.5;93.0;9.5
151;2022-04-19 03:00:00+00:00;Métropole du Grand Paris;4.1;84.0;7.100000000000023
152;2022-04-20 18:00:00+00:00;Métropole du Grand Paris;4.4;34.0;16.80000000000001
153;2022-01-26 00:00:00+00:00;Métropole du Grand Paris;2.2;100.0;0.3000000000000113
154;2022-01-28 18:00:00+00:00;Métropole du Grand Paris;1.2;92.0;5.5
155;2022-01-29 21:00:00+00:00;Métropole du Grand Paris;4.6;92.0;9.100000000000025
156;2022-01-31 00:00:00+00:00;Métropole du Grand Paris;4.1;74.0;6.600000000000023
157;2022-02-02 00:00:00+00:00;Métropole du Grand Paris;6.8;87.0;10.300000000000011
158;2022-02-04 18:00:00+00:00;Métropole du Grand Paris;3.3;74.0;6.100000000000023
159;2022-02-05 12:00:00+00:00;Métropole du Grand Paris;3.9;72.0;8.800000000000011
160;2022-02-07 00:00:00+00:00;Métropole du Grand Paris;5.9;74.0;8.800000000000011
161;2022-01-15 00:00:00+00:00;Métropole du Grand Paris;1.2;96.0;-0.3999999999999772
162;2022-01-17 00:00:00+00:00;Métropole du Grand Paris;1.2;100.0;4.400000000000034
163;2022-02-08 18:00:00+00:00;Métropole du Grand Paris;2.7;85.0;9.200000000000044
164;2022-02-11 21:00:00+00:00;Métropole du Grand Paris;0.0;82.0;2.300000000000012
165;2022-01-21 15:00:00+00:00;Métropole du Grand Paris;3.3;76.0;5.400000000000034
166;2022-01-23 21:00:00+00:00;Métropole du Grand Paris;2.7;84.0;2.900000000000034
167;2022-06-02 21:00:00+00:00;Métropole du Grand Paris;4.5;41.0;19.80000000000001
