id_pos,id_type_install,type_install,lat,lon,geometry,id_arr
0,193,cpt_traffic,48.853584029564495,2.32988311847408,"LINESTRING (2.330422683 48.8544501616, 2.3297183153 48.8533232828, 2.3293484597 48.8527148733)",4
1,6591,cpt_traffic,48.86050336404037,2.31325071856321,"LINESTRING (2.3131795918 48.8599421336, 2.3133218453 48.8610645945)",4
2,4496,cpt_traffic,48.862383916757125,2.303676510085534,"LINESTRING (2.3019501089 48.8623385678, 2.3054029113 48.8624292657)",4
3,194,cpt_traffic,48.85232835133813,2.328951404609465,"LINESTRING (2.3293484597 48.8527148733, 2.3285543495 48.8519418293)",4
4,6582,cpt_traffic,48.85433593558184,2.3148872664623363,"LINESTRING (2.3148195946 48.8537496398, 2.3149549383 48.8549222314)",4
5,191,cpt_traffic,48.85728037123275,2.332454190717672,"LINESTRING (2.3332577811 48.858260067, 2.3316506003 48.8563006755)",4
6,6587,cpt_traffic,48.857010213851055,2.3149767988964234,"LINESTRING (2.3150830399 48.8578976529, 2.3148705579 48.8561227748)",4
7,192,cpt_traffic,48.8553754185765,2.331036641647269,"LINESTRING (2.3316506003 48.8563006755, 2.330422683 48.8544501616)",4
8,6584,cpt_traffic,48.85551766995627,2.315023665081319,"LINESTRING (2.3149549383 48.8549222314, 2.3150923919 48.8561131085)",4
9,6188,cpt_traffic,48.8546279520446,2.329806342500958,"LINESTRING (2.329190002 48.8548057424, 2.330422683 48.8544501616)",4
10,195,cpt_traffic,48.85430895560175,2.3310052916709947,"LINESTRING (2.330422683 48.8544501616, 2.3315879004 48.8541677496)",4
11,6812,cpt_traffic,48.85815242289728,2.3142752407677065,"LINESTRING (2.313455774 48.858364266, 2.3140527947 48.8582809201, 2.3142753001 48.8582105888, 2.3143941057 48.8581053437, 2.3145534706 48.8580168429, 2.3147622233 48.8579598772, 2.3150830399 48.8578976529)",4
12,355,cpt_traffic,48.85674181872458,2.3270251605995886,"LINESTRING (2.3258692172 48.855986576, 2.3274383566 48.8568990584, 2.3279955203 48.8576985116)",4
13,6586,cpt_traffic,48.857041381584736,2.315203177044249,"LINESTRING (2.3150923919 48.8561131085, 2.3153139622 48.8579696546)",4
14,200,cpt_traffic,48.85824721621988,2.328377849908698,"LINESTRING (2.3279955203 48.8576985116, 2.3287601795 48.8587959208)",4
15,206,cpt_traffic,48.85940151630263,2.3298456927105584,"LINESTRING (2.3301974555 48.8592782381, 2.3294939299 48.8595247945)",4
16,6813,cpt_traffic,48.85824539855538,2.314401975386384,"LINESTRING (2.3153139622 48.8579696546, 2.3147396437 48.858093185, 2.31457267 48.8581684759, 2.3145177188 48.8583059511, 2.3143298796 48.8583665346, 2.3134630624 48.8584234942)",4
17,201,cpt_traffic,48.85923307845668,2.3290801570498165,"LINESTRING (2.3287601795 48.8587959208, 2.329208844 48.8594802169, 2.3294939299 48.8595247945)",4
18,5589,cpt_traffic,48.8476405799728,2.31863300276385,"LINESTRING (2.3205215666154277 48.848477738026425, 2.3191337678559574 48.84780196470312, 2.3167094142823577 48.84688457220741)",4
19,6589,cpt_traffic,48.85937824659916,2.313115808740122,"LINESTRING (2.3130520257 48.8588143596, 2.3131795918 48.8599421336)",4
20,4400,cpt_traffic,48.86245790282497,2.306494250268326,"LINESTRING (2.3054029113 48.8624292657, 2.3075855892 48.8624865399)",4
21,202,cpt_traffic,48.86015891257183,2.3299146643450075,"LINESTRING (2.3294939299 48.8595247945, 2.3303353988 48.8607930306)",4
22,5593,cpt_traffic,48.85082549166496,2.3254001178291985,"LINESTRING (2.3266917440138424 48.851357104576486, 2.3241084916445547 48.850293878753405)",4
23,204,cpt_traffic,48.85894695089357,2.3312205472628884,"LINESTRING (2.332243639 48.8586156637, 2.3301974555 48.8592782381)",4
24,6297,cpt_traffic,48.86152543515156,2.322805378718389,"LINESTRING (2.3241428737 48.8611215735, 2.3214678837 48.8619292968)",4
25,4431,cpt_traffic,48.86109191015796,2.296640678535331,"LINESTRING (2.2955198544 48.860452826, 2.2962438643 48.8609389145, 2.2970122532 48.8612999072, 2.2978175114 48.8616254158)",4
26,5053,cpt_traffic,48.85974727493379,2.294517030404645,"LINESTRING (2.2935142064 48.8590417238, 2.2955198544 48.860452826)",4
27,6583,cpt_traffic,48.85434664654834,2.314660267843485,"LINESTRING (2.3147301172 48.8549366108, 2.3145904185 48.8537566823)",4
28,6592,cpt_traffic,48.86050669591239,2.313061859593924,"LINESTRING (2.3131268533 48.861076516, 2.3129968659 48.8599368758)",4
29,6593,cpt_traffic,48.8619421772072,2.31342704120477,"LINESTRING (2.3133218453 48.8610645945, 2.3135322371 48.8628197599)",4
30,4184,cpt_traffic,48.859739255334304,2.3287598742878126,"LINESTRING (2.3294939299 48.8595247945, 2.3280258187 48.8599537162)",4
31,6793,cpt_traffic,48.86252343953751,2.308992744991047,"LINESTRING (2.3075855892 48.8624865399, 2.3103999008 48.8625603392)",4
32,4440,cpt_traffic,48.85830508441662,2.292089109314043,"LINESTRING (2.293146091 48.8590162657, 2.2910321277 48.8575939031)",4
33,6500,cpt_traffic,48.85273145931497,2.3144954512283555,"LINESTRING (2.3145858429 48.8536527983, 2.3144050595 48.8518101203)",4
34,4447,cpt_traffic,48.85916150545087,2.2930988590961805,"LINESTRING (2.2952888572 48.8605497653, 2.2945117483 48.860147933, 2.2924634058 48.8588003072, 2.2910321277 48.8575939031)",4
35,5401,cpt_traffic,48.85963371651759,2.2921363528129968,"LINESTRING (2.2911266147 48.8602511673, 2.293146091 48.8590162657)",4
