id_date,mois,jour_semaine
2022-03-31,Mars,Jeudi
2022-04-01,Avril,Vendredi
2022-04-02,Avril,Samedi
2022-04-03,Avril,Dimanche
2022-04-04,Avril,Lundi
2022-04-05,Avril,Mardi
2022-04-06,Avril,Mercredi
2022-04-07,Avril,Jeudi
2022-04-08,Avril,Vendredi
2022-04-09,Avril,Samedi
2022-04-10,Avril,Dimanche
2022-04-11,Avril,Lundi
2022-04-12,Avril,Mardi
2022-04-13,Avril,Mercredi
2022-04-14,Avril,Jeudi
2022-04-15,Avril,Vendredi
2022-04-16,Avril,Samedi
2022-04-17,Avril,Dimanche
2022-04-18,Avril,Lundi
2022-04-19,Avril,Mardi
2022-04-20,Avril,Mercredi
2022-04-21,Avril,Jeudi
2022-04-22,Avril,Vendredi
2022-04-23,Avril,Samedi
2022-04-24,Avril,Dimanche
2022-04-25,Avril,Lundi
2022-04-26,Avril,Mardi
2022-04-27,Avril,Mercredi
2022-04-28,Avril,Jeudi
2022-04-29,Avril,Vendredi
2022-04-30,Avril,Samedi
2022-05-01,Mai,Dimanche
2022-05-02,Mai,Lundi
2022-05-03,Mai,Mardi
2022-05-04,Mai,Mercredi
2022-05-05,Mai,Jeudi
2022-05-06,Mai,Vendredi
2022-05-07,Mai,Samedi
2022-05-08,Mai,Dimanche
2022-05-09,Mai,Lundi
2022-05-10,Mai,Mardi
2022-05-11,Mai,Mercredi
2022-05-12,Mai,Jeudi
2022-05-13,Mai,Vendredi
2022-05-14,Mai,Samedi
2022-05-15,Mai,Dimanche
2022-05-16,Mai,Lundi
2022-05-17,Mai,Mardi
2022-05-18,Mai,Mercredi
2022-05-19,Mai,Jeudi
2022-05-20,Mai,Vendredi
2022-05-21,Mai,Samedi
2022-05-22,Mai,Dimanche
2022-05-23,Mai,Lundi
2022-05-24,Mai,Mardi
2022-05-25,Mai,Mercredi
2022-05-26,Mai,Jeudi
2022-05-27,Mai,Vendredi
2022-05-28,Mai,Samedi
2022-05-29,Mai,Dimanche
2022-05-30,Mai,Lundi
2022-05-31,Mai,Mardi
2022-06-01,Juin,Mercredi
2022-06-02,Juin,Jeudi
2022-06-03,Juin,Vendredi
2022-06-04,Juin,Samedi
2022-06-05,Juin,Dimanche
2022-06-06,Juin,Lundi
2022-06-07,Juin,Mardi
2022-06-08,Juin,Mercredi
2022-06-09,Juin,Jeudi
2022-06-10,Juin,Vendredi
2022-06-11,Juin,Samedi
2022-06-12,Juin,Dimanche
2022-06-13,Juin,Lundi
2022-06-14,Juin,Mardi
2022-06-15,Juin,Mercredi
2022-06-16,Juin,Jeudi
2022-06-17,Juin,Vendredi
2022-06-18,Juin,Samedi
2022-06-19,Juin,Dimanche
2022-06-20,Juin,Lundi
2022-06-21,Juin,Mardi
2022-06-22,Juin,Mercredi
2022-06-23,Juin,Jeudi
2022-06-24,Juin,Vendredi
2022-06-25,Juin,Samedi
2022-06-26,Juin,Dimanche
2022-06-27,Juin,Lundi
2022-06-28,Juin,Mardi
2022-06-29,Juin,Mercredi
2022-06-30,Juin,Jeudi
2022-07-01,Juillet,Vendredi
2022-07-02,Juillet,Samedi
2022-07-03,Juillet,Dimanche
2022-07-04,Juillet,Lundi
2022-07-05,Juillet,Mardi
2022-07-06,Juillet,Mercredi
2022-07-07,Juillet,Jeudi
2022-07-08,Juillet,Vendredi
2022-07-09,Juillet,Samedi
2022-07-10,Juillet,Dimanche
2022-07-11,Juillet,Lundi
2022-07-12,Juillet,Mardi
2022-07-13,Juillet,Mercredi
2022-07-14,Juillet,Jeudi
2022-07-15,Juillet,Vendredi
2022-07-16,Juillet,Samedi
2022-07-17,Juillet,Dimanche
2022-07-18,Juillet,Lundi
2022-07-19,Juillet,Mardi
2022-07-20,Juillet,Mercredi
2022-07-21,Juillet,Jeudi
2022-07-22,Juillet,Vendredi
2022-07-23,Juillet,Samedi
2022-07-24,Juillet,Dimanche
2022-07-25,Juillet,Lundi
2022-07-26,Juillet,Mardi
2022-07-27,Juillet,Mercredi
2022-07-28,Juillet,Jeudi
2022-07-29,Juillet,Vendredi
2022-07-30,Juillet,Samedi
2022-07-31,Juillet,Dimanche
2022-08-01,Aout,Lundi
2022-08-02,Aout,Mardi
2022-08-03,Aout,Mercredi
2022-08-04,Aout,Jeudi
2022-08-05,Aout,Vendredi
2022-08-06,Aout,Samedi
2022-08-07,Aout,Dimanche
2022-08-08,Aout,Lundi
2022-08-09,Aout,Mardi
2022-08-10,Aout,Mercredi
2022-08-11,Aout,Jeudi
2022-08-12,Aout,Vendredi
2022-08-13,Aout,Samedi
