id_meteo,Vitesse_vent_moyen,Humidité,Température,id_date,id_heure
98,2.3,55.0,19.5,2022-10-12,5:00
99,3.0,96.0,8.5,2022-11-16,6:00
100,4.3,79.0,10.300000000000011,2022-11-17,1:00
101,6.2,91.0,6.0,2022-11-22,6:00
102,5.1,71.0,9.700000000000044,2022-11-22,8:00
103,4.6,72.0,10.200000000000044,2022-04-22,6:00
104,5.8,72.0,11.5,2022-04-25,9:00
105,5.5,57.0,14.100000000000025,2022-05-02,1:00
106,5.4,59.0,16.100000000000023,2022-05-05,2:00
107,2.8,73.0,13.100000000000025,2022-05-09,6:00
108,0.5,86.0,13.800000000000011,2022-05-10,3:00
109,6.2,38.0,26.30000000000001,2022-05-10,2:00
110,6.0,32.0,27.90000000000004,2022-05-15,2:00
111,4.7,37.0,26.5,2022-05-15,8:00
112,4.0,43.0,26.100000000000023,2022-05-16,5:00
113,3.0,53.0,24.90000000000004,2022-05-19,2:00
114,3.5,80.0,17.0,2022-05-23,0:00
115,3.3,92.0,13.0,2022-05-24,0:00
116,4.1,45.0,21.0,2022-05-27,8:00
117,1.8,95.0,17.100000000000023,2022-06-04,1:00
118,3.9,79.0,14.800000000000011,2022-06-06,6:00
119,6.6,59.0,20.700000000000045,2022-06-07,2:00
120,4.3,53.0,18.30000000000001,2022-06-13,1:00
121,1.0,62.0,20.200000000000045,2022-06-17,6:00
122,4.4,34.0,34.60000000000002,2022-06-18,8:00
123,1.1,84.0,17.600000000000023,2022-06-21,9:00
124,3.8,70.0,21.90000000000004,2022-06-22,2:00
125,5.2,63.0,25.0,2022-06-22,5:00
126,1.4,91.0,19.30000000000001,2022-06-23,0:00
127,5.8,61.0,11.100000000000025,2022-03-13,9:00
128,8.2,57.0,10.0,2022-03-19,9:00
129,1.8,48.0,12.100000000000025,2022-03-23,9:00
130,1.4,44.0,10.800000000000011,2022-03-24,0:00
131,5.7,25.0,18.80000000000001,2022-03-25,5:00
132,2.2,61.0,7.900000000000034,2022-03-26,6:00
133,2.7,71.0,8.200000000000045,2022-03-27,6:00
134,3.9,42.0,18.100000000000023,2022-03-27,2:00
135,0.8,74.0,7.0,2022-03-28,3:00
136,0.6,82.0,11.300000000000011,2022-03-29,1:00
137,1.2,95.0,10.600000000000025,2022-03-30,9:00
138,4.8,62.0,3.6000000000000227,2022-02-27,9:00
139,2.4,66.0,5.600000000000023,2022-03-02,6:00
140,3.5,72.0,12.700000000000044,2022-03-03,5:00
141,4.1,79.0,3.300000000000012,2022-03-06,9:00
142,6.6,39.0,8.300000000000011,2022-03-06,5:00
143,10.0,71.0,3.6000000000000227,2022-03-31,1:00
144,6.7,53.0,6.900000000000034,2022-04-04,9:00
145,7.4,59.0,8.300000000000011,2022-04-04,8:00
146,4.9,77.0,9.900000000000034,2022-04-06,9:00
147,5.7,47.0,19.90000000000004,2022-04-12,2:00
148,1.4,98.0,12.900000000000034,2022-04-13,9:00
149,2.5,71.0,10.300000000000011,2022-02-17,1:00
150,3.5,93.0,9.5,2022-02-22,1:00
151,4.1,84.0,7.100000000000023,2022-04-19,3:00
152,4.4,34.0,16.80000000000001,2022-04-20,8:00
153,2.2,100.0,0.3000000000000113,2022-01-26,0:00
154,1.2,92.0,5.5,2022-01-28,8:00
155,4.6,92.0,9.100000000000025,2022-01-29,1:00
156,4.1,74.0,6.600000000000023,2022-01-31,0:00
157,6.8,87.0,10.300000000000011,2022-02-02,0:00
158,3.3,74.0,6.100000000000023,2022-02-04,8:00
159,3.9,72.0,8.800000000000011,2022-02-05,2:00
160,5.9,74.0,8.800000000000011,2022-02-07,0:00
161,1.2,96.0,-0.3999999999999772,2022-01-15,0:00
162,1.2,100.0,4.400000000000034,2022-01-17,0:00
163,2.7,85.0,9.200000000000044,2022-02-08,8:00
164,0.0,82.0,2.300000000000012,2022-02-11,1:00
165,3.3,76.0,5.400000000000034,2022-01-21,5:00
166,2.7,84.0,2.900000000000034,2022-01-23,1:00
167,4.5,41.0,19.80000000000001,2022-06-02,1:00
168,4.6,94.0,15.900000000000034,2022-06-07,6:00
169,2.3,90.0,14.0,2022-06-10,3:00
170,3.9,87.0,15.900000000000034,2022-06-21,6:00
171,1.4,57.0,22.90000000000004,2022-06-23,1:00
